premise	hypothesis	label
A 200 cm girl is black. A 120 cm girl is white.	A 40 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 44 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 48 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 52 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 56 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 60 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 64 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 68 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 72 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 76 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 80 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 84 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 88 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 92 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 96 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 100 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 104 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 108 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 112 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 116 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 120 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 124 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 128 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 132 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 136 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 140 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 144 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 148 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 152 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 156 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 160 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 164 cm girl is black.	not_entailment
A 200 cm girl is black. A 120 cm girl is white.	A 168 cm girl is black.	not_entailment
