premise	hypothesis	label
A 200 cm cord is long. A 120 cm cord is short.	A 40 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 44 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 48 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 52 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 56 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 60 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 64 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 68 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 72 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 76 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 80 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 84 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 88 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 92 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 96 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 100 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 104 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 108 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 112 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 116 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 120 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 124 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 128 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 132 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 136 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 140 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 144 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 148 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 152 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 156 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 160 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 164 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 168 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 172 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 176 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 180 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 184 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 188 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 192 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 196 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 200 cm street is long.	discard
A 200 cm cord is long. A 120 cm cord is short.	A 204 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 208 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 212 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 216 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 220 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 224 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 228 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 232 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 236 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 240 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 244 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 248 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 252 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 256 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 260 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 264 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 268 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 272 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 276 cm street is long.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 40 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 44 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 48 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 52 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 56 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 60 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 64 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 68 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 72 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 76 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 80 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 84 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 88 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 92 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 96 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 100 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 104 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 108 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 112 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 116 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 120 cm street is short.	discard
A 200 cm cord is long. A 120 cm cord is short.	A 124 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 128 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 132 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 136 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 140 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 144 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 148 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 152 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 156 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 160 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 164 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 168 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 172 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 176 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 180 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 184 cm street is short.	not_entailment
A 200 cm cord is long. A 120 cm cord is short.	A 188 cm street is short.	not_entailment
