premise	hypothesis
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 2700 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 2837 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 2974 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 3111 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 3248 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 3385 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 3522 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 3659 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 3796 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 3933 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 4070 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 4207 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 4344 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 4481 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 4618 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 4755 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 4892 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 5029 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 5166 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 5303 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 5440 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 5577 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 5714 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 5851 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 5988 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 6125 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 6262 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 6399 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 6536 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 6673 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 6810 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 6947 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 7084 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 7221 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 7358 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 7495 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 7632 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 7769 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 7906 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 8043 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 8180 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 8317 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 8454 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 8591 g kitty is not heavy.
A 8180 g kitty is heavy. A 5440 g kitty is light.	A 8728 g kitty is not heavy.
