premise	hypothesis	label
A 4360 g bird is heavy. A 2900 g bird is light.	A 1440 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 1513 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 1586 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 1659 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 1732 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 1805 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 1878 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 1951 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2024 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2097 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2170 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2243 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2316 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2389 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2462 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2535 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2608 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2681 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2754 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2827 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2900 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2973 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 3046 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 3119 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 3192 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 3265 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 3338 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 3411 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 3484 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 3557 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 3630 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 3703 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 3776 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 3849 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 3922 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 3995 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 4068 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 4141 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 4214 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 4287 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 4360 g dryer is heavy.	discard
A 4360 g bird is heavy. A 2900 g bird is light.	A 4433 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 4506 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 4579 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 4652 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 4725 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 4798 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 4871 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 4944 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 5017 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 5090 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 5163 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 5236 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 5309 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 5382 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 5455 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 5528 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 5601 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 5674 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 5747 g dryer is heavy.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 1440 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 1513 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 1586 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 1659 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 1732 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 1805 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 1878 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 1951 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2024 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2097 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2170 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2243 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2316 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2389 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2462 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2535 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2608 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2681 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2754 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2827 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 2900 g dryer is light.	discard
A 4360 g bird is heavy. A 2900 g bird is light.	A 2973 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 3046 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 3119 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 3192 g dryer is light.	not_entailment
A 4360 g bird is heavy. A 2900 g bird is light.	A 3265 g dryer is light.	not_entailment
