sentence1	sentence2	gold_label
The potter is happy.	The potter is delighted	contradiction
The species is unusual.	The species is rare	contradiction
The species is rare	The species is unusual.	entailment
The thought is frightening	The thought is scary.	entailment
The city is lively.	The city is vivacious	contradiction
The city is vivacious	The city is lively.	entailment
The market is lively.	The market is vivacious	contradiction
The market is vivacious	The market is lively.	entailment
The country is capable.	The country is skilled	contradiction
The country is skilled	The country is capable.	entailment
The development is positive.	The development is terrific	contradiction
The park is lovely	The park is nice.	entailment
The kid is wise.	The kid is sagacious	contradiction
The kid is sagacious	The kid is wise.	entailment
The director is gutted	The director is disappointed.	entailment
The reason is plenty.	The reason is abundant	contradiction
The reason is abundant	The reason is plenty.	entailment
The proof is abundant	The proof is plenty.	entailment
The process is valuable.	The process is priceless	contradiction
The process is priceless	The process is valuable.	entailment
The difference is annoying.	The difference is obnoxious	contradiction
The difference is obnoxious	The difference is annoying.	entailment
The earth is dirty.	The earth is filthy	contradiction
The earth is filthy	The earth is dirty.	entailment
The law is clear.	The law is exact	contradiction
The law is exact	The law is clear.	entailment
The quantity is plenty.	The quantity is abundant	contradiction
The quantity is abundant	The quantity is plenty.	entailment
The brochure is expensive.	The brochure is exorbitant	contradiction
The brochure is exorbitant	The brochure is expensive.	entailment
The villa is valuable.	The villa is priceless	contradiction
The villa is priceless	The villa is valuable.	entailment
The dream is dangerous.	The dream is risky	contradiction
The market is crowded.	The market is packed	contradiction
The market is packed	The market is crowded.	entailment
The couple is happy.	The couple is delighted	contradiction
The couple is delighted	The couple is happy.	entailment
The coast is clear.	The coast is exact	contradiction
The coast is exact	The coast is clear.	entailment
The sea is tired.	The sea is exhausted	contradiction
The sea is exhausted	The sea is tired.	entailment
The truth is crazy.	The truth is insane	contradiction
The evidence is surprising.	The evidence is astounding	contradiction
The evidence is astounding	The evidence is surprising.	entailment
The story is scary.	The story is frightening	contradiction
The rain is awful.	The rain is dreadful	contradiction
The rain is dreadful	The rain is awful.	entailment
The ad is obnoxious	The ad is annoying.	entailment
The workplace is dangerous.	The workplace is risky	contradiction
The workplace is risky	The workplace is dangerous.	entailment
The future is sad.	The future is miserable	contradiction
The future is miserable	The future is sad.	entailment
The engine is optimum	The engine is efficient.	entailment
The song is unpleasant.	The song is disgusting	contradiction
The song is disgusting	The song is unpleasant.	entailment
The smith is priceless	The smith is valuable.	entailment
The game is annoying.	The game is obnoxious	contradiction
The doctor is wise.	The doctor is sagacious	contradiction
The problem is awful.	The problem is dreadful	contradiction
The frequency is odd.	The frequency is bizarre	contradiction
The frequency is bizarre	The frequency is odd.	entailment
The path is exact	The path is clear.	entailment
The research is priceless	The research is valuable.	entailment
The place is crowded.	The place is packed	contradiction
The ending is appropriate.	The ending is perfect	contradiction
The ending is perfect	The ending is appropriate.	entailment
The return is surprising.	The return is astounding	contradiction
The return is astounding	The return is surprising.	entailment
The sun is tired.	The sun is exhausted	contradiction
The guy is crazy.	The guy is insane	contradiction
The guy is insane	The guy is crazy.	entailment
The space is valuable.	The space is priceless	contradiction
The space is priceless	The space is valuable.	entailment
The housing is indigent	The housing is poor.	entailment
The sound is disgusting	The sound is unpleasant.	entailment
The history is long.	The history is endless	contradiction
The history is endless	The history is long.	entailment
The tune is appropriate.	The tune is perfect	contradiction
The tune is perfect	The tune is appropriate.	entailment
The queen is happy.	The queen is delighted	contradiction
The pub is packed	The pub is crowded.	entailment
The audience is disappointed.	The audience is frustrated	contradiction
The audience is frustrated	The audience is disappointed.	entailment
The wine is tasty.	The wine is delicious	contradiction
The wine is delicious	The wine is tasty.	entailment
The neighborhood is cute.	The neighborhood is gorgeous	contradiction
The mayor is capable.	The mayor is skilled	contradiction
The mayor is skilled	The mayor is capable.	entailment
The reality is scary.	The reality is frightening	contradiction
The reality is frightening	The reality is scary.	entailment
The idea is scary.	The idea is frightening	contradiction
The idea is frightening	The idea is scary.	entailment
The president is wise.	The president is sagacious	contradiction
The president is sagacious	The president is wise.	entailment
The weather is awful.	The weather is dreadful	contradiction
The weather is dreadful	The weather is awful.	entailment
The military is weak.	The military is feeble	contradiction
The military is feeble	The military is weak.	entailment
The price is dreadful	The price is awful.	entailment
The weather is wet.	The weather is soaking	contradiction
The weather is soaking	The weather is wet.	entailment
The market is hot.	The market is boiling	contradiction
The market is boiling	The market is hot.	entailment
The ending is surprising.	The ending is astounding	contradiction
The ending is astounding	The ending is surprising.	entailment
The ceiling is limited	The ceiling is low.	entailment
The pottery is feeble	The pottery is weak.	entailment
The public is disappointed.	The public is gutted	contradiction
The public is gutted	The public is disappointed.	entailment
The name is brilliant	The name is clever.	entailment
The grass is wet.	The grass is soaking	contradiction
The grass is soaking	The grass is wet.	entailment
The job is scary.	The job is frightening	contradiction
The job is frightening	The job is scary.	entailment
The yard is dirty.	The yard is filthy	contradiction
The tune is annoying.	The tune is obnoxious	contradiction
The tune is obnoxious	The tune is annoying.	entailment
The atmosphere is dangerous.	The atmosphere is risky	contradiction
The atmosphere is risky	The atmosphere is dangerous.	entailment
The villa is poor.	The villa is indigent	contradiction
The treatment is unusual.	The treatment is rare	contradiction
The treatment is rare	The treatment is unusual.	entailment
The military is optimum	The military is efficient.	entailment
The title is funny.	The title is hilarious	contradiction
The sex is awful.	The sex is dreadful	contradiction
The hardcover is expensive.	The hardcover is exorbitant	contradiction
The hardcover is exorbitant	The hardcover is expensive.	entailment
The smith is poor.	The smith is indigent	contradiction
The smith is indigent	The smith is poor.	entailment
The duke is angry.	The duke is furious	contradiction
The duke is furious	The duke is angry.	entailment
The music is appropriate.	The music is perfect	contradiction
The music is perfect	The music is appropriate.	entailment
The return is positive.	The return is terrific	contradiction
The return is terrific	The return is positive.	entailment
The reason is clear.	The reason is exact	contradiction
The world is hot.	The world is boiling	contradiction
The world is boiling	The world is hot.	entailment
The song is sad.	The song is miserable	contradiction
The song is miserable	The song is sad.	entailment
The industry is crazy.	The industry is insane	contradiction
The industry is insane	The industry is crazy.	entailment
The fit is bizarre	The fit is odd.	entailment
The handbook is valuable.	The handbook is priceless	contradiction
The method is unusual.	The method is rare	contradiction
The method is rare	The method is unusual.	entailment
The alternative is sad.	The alternative is miserable	contradiction
The alternative is miserable	The alternative is sad.	entailment
The manager is happy.	The manager is delighted	contradiction
The game is brilliant	The game is clever.	entailment
The tone is scary.	The tone is frightening	contradiction
The scene is bleak.	The scene is desperate	contradiction
The scene is desperate	The scene is bleak.	entailment
The band is cute.	The band is gorgeous	contradiction
The neighborhood is dangerous.	The neighborhood is risky	contradiction
The neighborhood is risky	The neighborhood is dangerous.	entailment
The governor is disappointed.	The governor is frustrated	contradiction
The governor is frustrated	The governor is disappointed.	entailment
The show is sad.	The show is miserable	contradiction
The show is miserable	The show is sad.	entailment
The direction is positive.	The direction is terrific	contradiction
The direction is terrific	The direction is positive.	entailment
The wikipedia is clear.	The wikipedia is exact	contradiction
The wikipedia is exact	The wikipedia is clear.	entailment
The physician is wise.	The physician is sagacious	contradiction
The place is nice.	The place is lovely	contradiction
The place is lovely	The place is nice.	entailment
The administration is disappointed.	The administration is gutted	contradiction
The administration is gutted	The administration is disappointed.	entailment
The dna is positive.	The dna is terrific	contradiction
The dna is terrific	The dna is positive.	entailment
The internet is crazy.	The internet is insane	contradiction
The internet is insane	The internet is crazy.	entailment
The base is low.	The base is limited	contradiction
The base is limited	The base is low.	entailment
The euro is weak.	The euro is feeble	contradiction
The euro is feeble	The euro is weak.	entailment
The lounge is lively.	The lounge is vivacious	contradiction
The lounge is vivacious	The lounge is lively.	entailment
The ipod is capable.	The ipod is skilled	contradiction
The ipod is skilled	The ipod is capable.	entailment
The staff is frustrated	The staff is disappointed.	entailment
The situation is formidable	The situation is tough.	entailment
The supply is plenty.	The supply is abundant	contradiction
The supply is abundant	The supply is plenty.	entailment
The room is lively.	The room is vivacious	contradiction
The customer is disappointed.	The customer is frustrated	contradiction
The customer is frustrated	The customer is disappointed.	entailment
The glass is filthy	The glass is dirty.	entailment
The forecast is poor.	The forecast is indigent	contradiction
The forecast is indigent	The forecast is poor.	entailment
The water is low.	The water is limited	contradiction
The smith is disappointed.	The smith is frustrated	contradiction
The smith is frustrated	The smith is disappointed.	entailment
The situation is dangerous.	The situation is risky	contradiction
The situation is risky	The situation is dangerous.	entailment
The fruit is unpleasant.	The fruit is disgusting	contradiction
The fruit is disgusting	The fruit is unpleasant.	entailment
The tea is tasty.	The tea is delicious	contradiction
The tea is delicious	The tea is tasty.	entailment
The weather is nice.	The weather is lovely	contradiction
The weather is lovely	The weather is nice.	entailment
The result is unpleasant.	The result is disgusting	contradiction
The result is disgusting	The result is unpleasant.	entailment
The landscape is awful.	The landscape is dreadful	contradiction
The earth is hungry.	The earth is starving	contradiction
The earth is starving	The earth is hungry.	entailment
The land is plenty.	The land is abundant	contradiction
The land is abundant	The land is plenty.	entailment
The sound is scary.	The sound is frightening	contradiction
The sound is frightening	The sound is scary.	entailment
The grove is valuable.	The grove is priceless	contradiction
The grove is priceless	The grove is valuable.	entailment
The truth is priceless	The truth is valuable.	entailment
The lesson is clear.	The lesson is exact	contradiction
The lesson is exact	The lesson is clear.	entailment
The cat is happy.	The cat is delighted	contradiction
The fan is disappointed.	The fan is gutted	contradiction
The fan is gutted	The fan is disappointed.	entailment
The situation is unusual.	The situation is rare	contradiction
The situation is rare	The situation is unusual.	entailment
The landscape is formidable	The landscape is tough.	entailment
The mike is annoying.	The mike is obnoxious	contradiction
The mike is obnoxious	The mike is annoying.	entailment
The force is capable.	The force is skilled	contradiction
The force is skilled	The force is capable.	entailment
The other is funny.	The other is hilarious	contradiction
The other is hilarious	The other is funny.	entailment
The public is capable.	The public is skilled	contradiction
The public is skilled	The public is capable.	entailment
The purpose is clear.	The purpose is exact	contradiction
The purpose is exact	The purpose is clear.	entailment
The classroom is crowded.	The classroom is packed	contradiction
The classroom is packed	The classroom is crowded.	entailment
The result is annoying.	The result is obnoxious	contradiction
The result is obnoxious	The result is annoying.	entailment
The preparation is tasty.	The preparation is delicious	contradiction
The affect is unpleasant.	The affect is disgusting	contradiction
The affect is disgusting	The affect is unpleasant.	entailment
The president is angry.	The president is furious	contradiction
The president is furious	The president is angry.	entailment
The ending is odd.	The ending is bizarre	contradiction
The ending is bizarre	The ending is odd.	entailment
The bibliography is long.	The bibliography is endless	contradiction
The bibliography is endless	The bibliography is long.	entailment
The smith is hungry.	The smith is starving	contradiction
The hall is crowded.	The hall is packed	contradiction
The hall is packed	The hall is crowded.	entailment
The principle is clear.	The principle is exact	contradiction
The principle is exact	The principle is clear.	entailment
The idea is cute.	The idea is gorgeous	contradiction
The idea is gorgeous	The idea is cute.	entailment
The saying is funny.	The saying is hilarious	contradiction
The saying is hilarious	The saying is funny.	entailment
The apple is delicious	The apple is tasty.	entailment
The echo is annoying.	The echo is obnoxious	contradiction
The echo is obnoxious	The echo is annoying.	entailment
The combination is surprising.	The combination is astounding	contradiction
The jimmy is low.	The jimmy is limited	contradiction
The jimmy is limited	The jimmy is low.	entailment
The community is disappointed.	The community is gutted	contradiction
The community is gutted	The community is disappointed.	entailment
The sky is filthy	The sky is dirty.	entailment
The place is crazy.	The place is insane	contradiction
The place is insane	The place is crazy.	entailment
The truth is dangerous.	The truth is risky	contradiction
The truth is risky	The truth is dangerous.	entailment
The extent is surprising.	The extent is astounding	contradiction
The extent is astounding	The extent is surprising.	entailment
The pottery is poor.	The pottery is indigent	contradiction
The pottery is indigent	The pottery is poor.	entailment
The potter is poor.	The potter is indigent	contradiction
The potter is indigent	The potter is poor.	entailment
The potter is efficient.	The potter is optimum	contradiction
The reality is unpleasant.	The reality is disgusting	contradiction
The reality is disgusting	The reality is unpleasant.	entailment
The truth is miserable	The truth is sad.	entailment
The reaction is positive.	The reaction is terrific	contradiction
The reaction is terrific	The reaction is positive.	entailment
The community is angry.	The community is furious	contradiction
The phrase is clever.	The phrase is brilliant	contradiction
The detail is plenty.	The detail is abundant	contradiction
The detail is abundant	The detail is plenty.	entailment
The concrete is wet.	The concrete is soaking	contradiction
The concrete is soaking	The concrete is wet.	entailment
The water is plenty.	The water is abundant	contradiction
The water is abundant	The water is plenty.	entailment
The problem is clear.	The problem is exact	contradiction
The world is frustrated	The world is disappointed.	entailment
