premise	hypothesis
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 5°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 7°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 9°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 11°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 13°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 15°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 17°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 19°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 21°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 23°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 25°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 27°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 29°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 31°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 33°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 35°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 37°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 39°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 41°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 43°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 45°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 47°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 49°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 51°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 53°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 55°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 57°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 59°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 61°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 63°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 65°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 67°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 69°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 71°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 73°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 75°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 77°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 79°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 81°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 83°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 85°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 87°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 89°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 91°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 93°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 95°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 97°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 99°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 101°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 103°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 105°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 107°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 109°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 111°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 113°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 115°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 117°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 119°C mud is hot.
The hottest mud in the world is 103°C. The coldest mud in the world is 25°C.	A 121°C mud is hot.
