premise	hypothesis
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 150 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 158 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 166 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 174 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 182 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 190 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 198 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 206 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 214 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 222 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 230 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 238 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 246 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 254 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 262 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 270 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 278 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 286 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 294 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 302 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 310 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 318 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 326 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 334 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 342 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 350 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 358 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 366 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 374 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 382 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 390 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 398 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 406 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 414 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 422 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 430 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 438 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 446 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 454 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 462 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 470 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 478 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 486 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 494 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 502 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 510 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 518 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 526 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 534 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 542 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 550 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 558 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 566 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 574 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 582 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 590 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 598 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 606 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 614 g potato is heavy.
Potatoes heavier than 470 g are heavy. Potatoes lighter than 310 g are light.	A 622 g potato is heavy.
