premise	hypothesis
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 30 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 32 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 34 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 36 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 38 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 40 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 42 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 44 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 46 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 48 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 50 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 52 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 54 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 56 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 58 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 60 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 62 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 64 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 66 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 68 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 70 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 72 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 74 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 76 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 78 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 80 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 82 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 84 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 86 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 88 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 90 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 92 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 94 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 96 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 98 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 100 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 102 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 104 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 106 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 108 m cliff is tall.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 30 m cliff is short.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 32 m cliff is short.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 34 m cliff is short.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 36 m cliff is short.
The tallest cliff in the world is 108 m. The shortest cliff in the world is 30 m.	A 38 m cliff is short.
