premise	hypothesis
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 150 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 156 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 162 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 168 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 174 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 180 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 186 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 192 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 198 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 204 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 210 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 216 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 222 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 228 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 234 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 240 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 246 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 252 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 258 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 264 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 270 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 276 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 282 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 288 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 294 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 300 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 306 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 312 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 318 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 324 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 330 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 336 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 342 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 348 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 354 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 360 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 366 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 372 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 378 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 384 m tunnel is long.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 150 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 156 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 162 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 168 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 174 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 180 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 186 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 192 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 198 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 204 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 210 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 216 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 222 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 228 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 234 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 240 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 246 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 252 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 258 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 264 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 270 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 276 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 282 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 288 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 294 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 300 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 306 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 312 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 318 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 324 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 330 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 336 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 342 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 348 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 354 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 360 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 366 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 372 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 378 m tunnel is short.
Tunnels longer than 330 m are long. Tunnels shorter than 210 m are short.	A 384 m tunnel is short.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 10 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 12 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 14 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 16 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 18 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 20 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 22 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 24 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 26 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 28 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 30 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 32 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 34 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 36 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 38 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 40 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 42 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 44 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 46 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 48 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 50 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 52 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 54 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 56 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 58 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 60 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 62 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 64 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 66 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 68 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 70 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 72 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 74 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 76 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 78 m path is long.
Paths longer than 70 m are long. Paths shorter than 30 m are short.	A 80 m path is long.
