premise	hypothesis	label
The finder is efficient.	The finder is optimum	not_entailment
The finder is optimum	The finder is efficient.	entailment
The coffee is hot.	The coffee is boiling	not_entailment
The coffee is boiling	The coffee is hot.	entailment
The town is lively.	The town is vivacious	not_entailment
The town is vivacious	The town is lively.	entailment
The jay is uncommon.	The jay is rare	not_entailment
The jay is rare	The jay is uncommon.	entailment
The brochure is famous.	The brochure is notable	not_entailment
The brochure is notable	The brochure is famous.	entailment
The attention is annoying.	The attention is obnoxious	not_entailment
The attention is obnoxious	The attention is annoying.	entailment
The noise is plenty.	The noise is abundant	not_entailment
The noise is abundant	The noise is plenty.	entailment
The smith is efficient.	The smith is optimum	not_entailment
The smith is optimum	The smith is efficient.	entailment
The bread is tasty.	The bread is delicious	not_entailment
The bread is delicious	The bread is tasty.	entailment
The child is happy.	The child is elated	not_entailment
The child is elated	The child is happy.	entailment
The bedding is dry.	The bedding is parched	not_entailment
The bedding is parched	The bedding is dry.	entailment
The venue is appropriate.	The venue is perfect	not_entailment
The venue is perfect	The venue is appropriate.	entailment
The smith is capable.	The smith is skilled	not_entailment
The smith is skilled	The smith is capable.	entailment
The graphic is misleading.	The graphic is deceptive	not_entailment
The graphic is deceptive	The graphic is misleading.	entailment
The scene is creepy.	The scene is scary	not_entailment
The scene is scary	The scene is creepy.	entailment
The villa is expensive.	The villa is exorbitant	not_entailment
The villa is exorbitant	The villa is expensive.	entailment
The name is misleading.	The name is deceptive	not_entailment
The name is deceptive	The name is misleading.	entailment
The park is crowded.	The park is packed	not_entailment
The park is packed	The park is crowded.	entailment
The disorder is uncommon.	The disorder is rare	not_entailment
The disorder is rare	The disorder is uncommon.	entailment
The leather is thin.	The leather is skinny	not_entailment
The leather is skinny	The leather is thin.	entailment
The government is capable.	The government is skilled	not_entailment
The government is skilled	The government is capable.	entailment
The gnome is old.	The gnome is ancient	not_entailment
The gnome is ancient	The gnome is old.	entailment
The sky is bleak.	The sky is desperate	not_entailment
The sky is desperate	The sky is bleak.	entailment
The order is appropriate.	The order is perfect	not_entailment
The order is perfect	The order is appropriate.	entailment
The air is lively.	The air is vivacious	not_entailment
The air is vivacious	The air is lively.	entailment
The enemy is tough.	The enemy is formidable	not_entailment
The enemy is formidable	The enemy is tough.	entailment
The flower is unusual.	The flower is rare	not_entailment
The flower is rare	The flower is unusual.	entailment
The bibliography is unusual.	The bibliography is rare	not_entailment
The bibliography is rare	The bibliography is unusual.	entailment
The company is dumb.	The company is idiotic	not_entailment
The company is idiotic	The company is dumb.	entailment
The alexander is long.	The alexander is endless	not_entailment
The alexander is endless	The alexander is long.	entailment
The work is hard.	The work is hopeless	not_entailment
The work is hopeless	The work is hard.	entailment
The city is pretty.	The city is gorgeous	not_entailment
The city is gorgeous	The city is pretty.	entailment
The film is violent.	The film is murderous	not_entailment
The film is murderous	The film is violent.	entailment
The wolf is cute.	The wolf is gorgeous	not_entailment
The wolf is gorgeous	The wolf is cute.	entailment
The guinea is violent.	The guinea is murderous	not_entailment
The guinea is murderous	The guinea is violent.	entailment
The jesus is hot.	The jesus is boiling	not_entailment
The jesus is boiling	The jesus is hot.	entailment
The robot is efficient.	The robot is optimum	not_entailment
The robot is optimum	The robot is efficient.	entailment
The road is wet.	The road is soaking	not_entailment
The road is soaking	The road is wet.	entailment
The toll is expensive.	The toll is exorbitant	not_entailment
The toll is exorbitant	The toll is expensive.	entailment
The glass is clean.	The glass is spotless	not_entailment
The glass is spotless	The glass is clean.	entailment
