premise	hypothesis	label
A 1200 m avenue is long. A 800 m avenue is short.	A 600 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 620 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 640 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 660 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 680 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 700 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 720 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 740 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 760 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 780 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 800 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 820 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 840 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 860 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 880 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 900 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 920 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 940 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 960 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 980 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1000 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1020 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1040 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1060 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1080 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1100 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1120 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1140 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1160 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1180 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1200 m mall is long.	discard
A 1200 m avenue is long. A 800 m avenue is short.	A 1220 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1240 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1260 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1280 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1300 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1320 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1340 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1360 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1380 m mall is long.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 600 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 620 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 640 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 660 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 680 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 700 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 720 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 740 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 760 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 780 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 800 m mall is short.	discard
A 1200 m avenue is long. A 800 m avenue is short.	A 820 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 840 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 860 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 880 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 900 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 920 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 940 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 960 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 980 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1000 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1020 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1040 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1060 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1080 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1100 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1120 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1140 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1160 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1180 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1200 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1220 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1240 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1260 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1280 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1300 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1320 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1340 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1360 m mall is short.	not_entailment
A 1200 m avenue is long. A 800 m avenue is short.	A 1380 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 10 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 12 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 14 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 16 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 18 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 20 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 22 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 24 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 26 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 28 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 30 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 32 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 34 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 36 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 38 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 40 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 42 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 44 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 46 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 48 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 50 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 52 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 54 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 56 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 58 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 60 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 62 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 64 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 66 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 68 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 70 m mall is long.	discard
A 70 m path is long. A 30 m path is short.	A 72 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 74 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 76 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 78 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 80 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 82 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 84 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 86 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 88 m mall is long.	not_entailment
A 70 m path is long. A 30 m path is short.	A 10 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 12 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 14 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 16 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 18 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 20 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 22 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 24 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 26 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 28 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 30 m mall is short.	discard
A 70 m path is long. A 30 m path is short.	A 32 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 34 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 36 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 38 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 40 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 42 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 44 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 46 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 48 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 50 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 52 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 54 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 56 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 58 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 60 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 62 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 64 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 66 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 68 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 70 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 72 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 74 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 76 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 78 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 80 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 82 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 84 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 86 m mall is short.	not_entailment
A 70 m path is long. A 30 m path is short.	A 88 m mall is short.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 60 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 62 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 64 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 66 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 68 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 70 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 72 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 74 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 76 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 78 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 80 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 82 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 84 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 86 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 88 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 90 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 92 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 94 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 96 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 98 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 100 cm jaguar is long.	not_entailment
A 120 cm leg is long. A 80 cm leg is short.	A 102 cm jaguar is long.	not_entailment
