premise	hypothesis
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 140 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 147 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 154 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 161 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 168 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 175 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 182 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 189 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 196 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 203 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 210 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 217 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 224 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 231 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 238 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 245 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 252 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 259 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 266 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 273 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 280 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 287 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 294 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 301 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 308 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 315 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 322 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 329 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 336 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 343 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 350 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 357 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 364 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 371 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 378 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 385 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 392 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 399 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 406 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 413 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 420 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 427 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 434 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 441 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 448 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 455 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 462 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 469 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 476 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 483 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 490 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 497 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 504 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 511 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 518 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 525 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 532 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 539 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 546 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 553 g vegetable is heavy.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 140 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 147 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 154 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 161 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 168 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 175 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 182 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 189 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 196 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 203 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 210 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 217 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 224 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 231 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 238 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 245 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 252 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 259 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 266 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 273 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 280 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 287 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 294 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 301 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 308 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 315 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 322 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 329 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 336 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 343 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 350 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 357 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 364 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 371 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 378 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 385 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 392 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 399 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 406 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 413 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 420 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 427 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 434 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 441 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 448 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 455 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 462 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 469 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 476 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 483 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 490 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 497 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 504 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 511 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 518 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 525 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 532 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 539 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 546 g vegetable is light.
A 420 g vegetable is heavy. A 280 g vegetable is light.	A 553 g vegetable is light.
A 1540 g carpet is heavy. A 1020 g carpet is light.	A 500 g carpet is heavy.
