premise	hypothesis
A 160 cm snake is long. A 100 cm snake is short.	A 40 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 43 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 46 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 49 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 52 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 55 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 58 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 61 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 64 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 67 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 70 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 73 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 76 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 79 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 82 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 85 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 88 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 91 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 94 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 97 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 100 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 103 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 106 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 109 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 112 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 115 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 118 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 121 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 124 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 127 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 130 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 133 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 136 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 139 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 142 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 145 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 148 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 151 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 154 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 157 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 160 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 163 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 166 cm snake is long.
A 160 cm snake is long. A 100 cm snake is short.	A 169 cm snake is long.
