sentence1	sentence2	gold_label
A 120 cm rope is long. A 80 cm rope is short.	A 62 cm rope is long.	contradiction
A 120 cm rope is long. A 80 cm rope is short.	A 64 cm rope is long.	contradiction
A 120 cm rope is long. A 80 cm rope is short.	A 66 cm rope is long.	contradiction
A 120 cm rope is long. A 80 cm rope is short.	A 68 cm rope is long.	contradiction
A 120 cm rope is long. A 80 cm rope is short.	A 70 cm rope is long.	contradiction
A 120 cm rope is long. A 80 cm rope is short.	A 72 cm rope is long.	contradiction
A 120 cm rope is long. A 80 cm rope is short.	A 74 cm rope is long.	contradiction
A 120 cm rope is long. A 80 cm rope is short.	A 80 cm rope is long.	contradiction
A 120 cm rope is long. A 80 cm rope is short.	A 120 cm rope is long.	entailment
A 120 cm rope is long. A 80 cm rope is short.	A 122 cm rope is long.	entailment
A 120 cm rope is long. A 80 cm rope is short.	A 124 cm rope is long.	entailment
A 120 cm rope is long. A 80 cm rope is short.	A 126 cm rope is long.	entailment
A 120 cm rope is long. A 80 cm rope is short.	A 130 cm rope is long.	entailment
A 120 cm rope is long. A 80 cm rope is short.	A 132 cm rope is long.	entailment
A 120 cm rope is long. A 80 cm rope is short.	A 134 cm rope is long.	entailment
A 120 cm rope is long. A 80 cm rope is short.	A 138 cm rope is long.	entailment
A 120 cm rope is long. A 80 cm rope is short.	A 62 cm rope is short.	entailment
A 120 cm rope is long. A 80 cm rope is short.	A 64 cm rope is short.	entailment
A 120 cm rope is long. A 80 cm rope is short.	A 66 cm rope is short.	entailment
A 120 cm rope is long. A 80 cm rope is short.	A 68 cm rope is short.	entailment
A 120 cm rope is long. A 80 cm rope is short.	A 72 cm rope is short.	entailment
A 120 cm rope is long. A 80 cm rope is short.	A 74 cm rope is short.	entailment
A 120 cm rope is long. A 80 cm rope is short.	A 76 cm rope is short.	entailment
A 120 cm rope is long. A 80 cm rope is short.	A 78 cm rope is short.	entailment
A 120 cm rope is long. A 80 cm rope is short.	A 80 cm rope is short.	entailment
A 120 cm rope is long. A 80 cm rope is short.	A 120 cm rope is short.	contradiction
A 120 cm rope is long. A 80 cm rope is short.	A 124 cm rope is short.	contradiction
A 120 cm rope is long. A 80 cm rope is short.	A 128 cm rope is short.	contradiction
A 120 cm rope is long. A 80 cm rope is short.	A 130 cm rope is short.	contradiction
A 120 cm rope is long. A 80 cm rope is short.	A 132 cm rope is short.	contradiction
A 120 cm rope is long. A 80 cm rope is short.	A 134 cm rope is short.	contradiction
A 120 cm rope is long. A 80 cm rope is short.	A 136 cm rope is short.	contradiction
A 120 cm rope is long. A 80 cm rope is short.	A 138 cm rope is short.	contradiction
