premise	hypothesis
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 800 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 840 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 880 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 920 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 960 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1000 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1040 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1080 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1120 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1160 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1200 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1240 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1280 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1320 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1360 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1400 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1440 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1480 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1520 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1560 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1600 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1640 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1680 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1720 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1760 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1800 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1840 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1880 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1920 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1960 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2000 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2040 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2080 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2120 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2160 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2200 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2240 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2280 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2320 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2360 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2400 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2440 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2480 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2520 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2560 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2600 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2640 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2680 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2720 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2760 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2800 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2840 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2880 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2920 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 2960 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 3000 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 3040 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 3080 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 3120 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 3160 g rabbit is very heavy.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 800 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 840 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 880 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 920 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 960 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1000 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1040 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1080 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1120 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1160 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1200 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1240 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1280 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1320 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1360 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1400 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1440 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1480 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1520 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1560 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1600 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1640 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1680 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1720 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1760 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1800 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1840 g rabbit is very light.
A 2400 g rabbit is heavy. A 1600 g rabbit is light.	A 1880 g rabbit is very light.
