premise	hypothesis	label
The glossary is modern.	The glossary is relatively modern.	entailment
The glossary is relatively modern.	The glossary is modern.	not_entailment
The quantity is uncertain.	The quantity is relatively uncertain.	entailment
The quantity is relatively uncertain.	The quantity is uncertain.	not_entailment
The apartment is small.	The apartment is relatively small.	entailment
The apartment is relatively small.	The apartment is small.	not_entailment
The floor is cold.	The floor is relatively cold.	entailment
The floor is relatively cold.	The floor is cold.	not_entailment
The reed is weak.	The reed is relatively weak.	entailment
The reed is relatively weak.	The reed is weak.	not_entailment
The cost is uncertain.	The cost is relatively uncertain.	entailment
The cost is relatively uncertain.	The cost is uncertain.	not_entailment
The scale is large.	The scale is relatively large.	entailment
The scale is relatively large.	The scale is large.	not_entailment
The wine is smooth.	The wine is relatively smooth.	entailment
The wine is relatively smooth.	The wine is smooth.	not_entailment
The bear is fat.	The bear is relatively fat.	entailment
The bear is relatively fat.	The bear is fat.	not_entailment
The bridge is wide.	The bridge is relatively wide.	entailment
The bridge is relatively wide.	The bridge is wide.	not_entailment
The reed is narrow.	The reed is relatively narrow.	entailment
The reed is relatively narrow.	The reed is narrow.	not_entailment
The arrangement is odd.	The arrangement is relatively odd.	entailment
The arrangement is relatively odd.	The arrangement is odd.	not_entailment
The word is impossible.	The word is relatively impossible.	entailment
The word is relatively impossible.	The word is impossible.	not_entailment
The daughter is healthy.	The daughter is relatively healthy.	entailment
The daughter is relatively healthy.	The daughter is healthy.	not_entailment
The light is gentle.	The light is relatively gentle.	entailment
The light is relatively gentle.	The light is gentle.	not_entailment
The reality is rough.	The reality is relatively rough.	entailment
The reality is relatively rough.	The reality is rough.	not_entailment
The blood is pure.	The blood is relatively pure.	entailment
The blood is relatively pure.	The blood is pure.	not_entailment
The building is old.	The building is relatively old.	entailment
The building is relatively old.	The building is old.	not_entailment
The hentai is good.	The hentai is relatively good.	entailment
The hentai is relatively good.	The hentai is good.	not_entailment
The rate is low.	The rate is relatively low.	entailment
The rate is relatively low.	The rate is low.	not_entailment
The sky is dirty.	The sky is relatively dirty.	entailment
The sky is relatively dirty.	The sky is dirty.	not_entailment
The circuit is short.	The circuit is relatively short.	entailment
The circuit is relatively short.	The circuit is short.	not_entailment
The church is small.	The church is relatively small.	entailment
The church is relatively small.	The church is small.	not_entailment
The building is suitable.	The building is relatively suitable.	entailment
The building is relatively suitable.	The building is suitable.	not_entailment
The signal is weak.	The signal is relatively weak.	entailment
The signal is relatively weak.	The signal is weak.	not_entailment
The glass is dirty.	The glass is relatively dirty.	entailment
The glass is relatively dirty.	The glass is dirty.	not_entailment
The mother is sick.	The mother is relatively sick.	entailment
The mother is relatively sick.	The mother is sick.	not_entailment
The chair is tall.	The chair is relatively tall.	entailment
The chair is relatively tall.	The chair is tall.	not_entailment
The medicine is cheap.	The medicine is relatively cheap.	entailment
The medicine is relatively cheap.	The medicine is cheap.	not_entailment
The forest is cool.	The forest is relatively cool.	entailment
The forest is relatively cool.	The forest is cool.	not_entailment
The pottery is similar.	The pottery is relatively similar.	entailment
The pottery is relatively similar.	The pottery is similar.	not_entailment
The contrast is profound.	The contrast is relatively profound.	entailment
The contrast is relatively profound.	The contrast is profound.	not_entailment
