premise	hypothesis
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 160 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 170 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 180 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 190 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 200 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 210 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 220 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 230 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 240 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 250 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 260 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 270 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 280 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 290 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 300 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 310 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 320 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 330 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 340 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 350 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 360 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 370 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 380 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 390 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 400 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 410 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 420 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 430 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 440 cm tree is tall.
The tallest tree in the world is 650 cm. The shortest tree in the world is 260 cm.	A 450 cm tree is tall.
