premise	hypothesis
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $400 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $420 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $440 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $460 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $480 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $500 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $520 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $540 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $560 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $580 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $600 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $620 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $640 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $660 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $680 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $700 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $720 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $740 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $760 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $780 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $800 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $820 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $840 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $860 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $880 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $900 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $920 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $940 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $960 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $980 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1000 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1020 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1040 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1060 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1080 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1100 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1120 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1140 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1160 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1180 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1200 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1220 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1240 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1260 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1280 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1300 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1320 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1340 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1360 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1380 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1400 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1420 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1440 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1460 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1480 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1500 manufacture is not expensive.
A $1200 manufacture is expensive. A $800 manufacture is cheap.	A $1520 manufacture is not expensive.
