premise	hypothesis	label
A $1440 medicine is effective. A $960 medicine is ineffective.	A $480 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $504 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $528 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $552 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $576 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $600 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $624 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $648 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $672 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $696 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $720 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $744 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $768 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $792 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $816 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $840 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $864 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $888 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $912 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $936 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $960 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $984 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1008 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1032 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1056 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1080 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1104 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1128 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1152 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1176 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1200 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1224 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1248 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1272 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1296 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1320 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1344 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1368 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1392 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1416 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1440 medicine is effective.	discard
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1464 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1488 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1512 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1536 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1560 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1584 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1608 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1632 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1656 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1680 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1704 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1728 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1752 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1776 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1800 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1824 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1848 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1872 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $1896 medicine is effective.	not_entailment
A $1440 medicine is effective. A $960 medicine is ineffective.	A $480 medicine is ineffective.	not_entailment
