premise	hypothesis	label
The road is ugly.	The word is ugly	not_entailment
The word is ugly	The road is ugly.	not_entailment
The pump is efficient.	The dna is efficient	not_entailment
The dna is efficient	The pump is efficient.	not_entailment
The grass is pretty.	The ocean is pretty	not_entailment
The ocean is pretty	The grass is pretty.	not_entailment
The house is ugly.	The situation is ugly	not_entailment
The situation is ugly	The house is ugly.	not_entailment
The weather is cold.	The february is cold	not_entailment
The february is cold	The weather is cold.	not_entailment
The song is appropriate.	The american is appropriate	not_entailment
The american is appropriate	The song is appropriate.	not_entailment
The buffalo is fat.	The booty is fat	not_entailment
The booty is fat	The buffalo is fat.	not_entailment
The walker is happy.	The boss is happy	not_entailment
The boss is happy	The walker is happy.	not_entailment
The walker is wise.	The robin is wise	not_entailment
The robin is wise	The walker is wise.	not_entailment
The guy is funny.	The truth is funny	not_entailment
The truth is funny	The guy is funny.	not_entailment
The bottom is clean.	The lake is clean	not_entailment
The lake is clean	The bottom is clean.	not_entailment
The platform is valuable.	The material is valuable	not_entailment
The material is valuable	The platform is valuable.	not_entailment
The result is unpleasant.	The music is unpleasant	not_entailment
The music is unpleasant	The result is unpleasant.	not_entailment
The potter is concerned.	The public is concerned	not_entailment
The public is concerned	The potter is concerned.	not_entailment
The combination is attractive.	The other is attractive	not_entailment
The other is attractive	The combination is attractive.	not_entailment
The reality is scary.	The thing is scary	not_entailment
The thing is scary	The reality is scary.	not_entailment
The office is crowded.	The world is crowded	not_entailment
The world is crowded	The office is crowded.	not_entailment
The bar is lively.	The miller is lively	not_entailment
The miller is lively	The bar is lively.	not_entailment
The money is dirty.	The sky is dirty	not_entailment
The sky is dirty	The money is dirty.	not_entailment
The rest is funny.	The walker is funny	not_entailment
The walker is funny	The rest is funny.	not_entailment
The result is odd.	The california is odd	not_entailment
The california is odd	The result is odd.	not_entailment
The fruit is tasty.	The chicken is tasty	not_entailment
The chicken is tasty	The fruit is tasty.	not_entailment
The shopper is smart.	The boy is smart	not_entailment
The boy is smart	The shopper is smart.	not_entailment
The play is dumb.	The santa is dumb	not_entailment
The santa is dumb	The play is dumb.	not_entailment
The type is uncommon.	The venezuela is uncommon	not_entailment
The venezuela is uncommon	The type is uncommon.	not_entailment
The stuff is tasty.	The preparation is tasty	not_entailment
The preparation is tasty	The stuff is tasty.	not_entailment
The timing is awful.	The cold is awful	not_entailment
The cold is awful	The timing is awful.	not_entailment
The market is lively.	The bar is lively	not_entailment
The bar is lively	The market is lively.	not_entailment
The dream is creepy.	The film is creepy	not_entailment
The film is creepy	The dream is creepy.	not_entailment
The alexander is near.	The jimmy is near	not_entailment
The jimmy is near	The alexander is near.	not_entailment
The beach is dirty.	The kitchen is dirty	not_entailment
The kitchen is dirty	The beach is dirty.	not_entailment
The sky is cold.	The soup is cold	not_entailment
The soup is cold	The sky is cold.	not_entailment
The villa is unusual.	The grove is unusual	not_entailment
The grove is unusual	The villa is unusual.	not_entailment
The design is attractive.	The offer is attractive	not_entailment
The offer is attractive	The design is attractive.	not_entailment
The alexander is long.	The caribbean is long	not_entailment
The caribbean is long	The alexander is long.	not_entailment
The alexander is small.	The argentina is small	not_entailment
The argentina is small	The alexander is small.	not_entailment
The memorabilia is personal.	The toshiba is personal	not_entailment
The toshiba is personal	The memorabilia is personal.	not_entailment
The prison is crowded.	The arena is crowded	not_entailment
The arena is crowded	The prison is crowded.	not_entailment
The book is funny.	The jimmy is funny	not_entailment
The jimmy is funny	The book is funny.	not_entailment
The kill is quick.	The charlotte is quick	not_entailment
The charlotte is quick	The kill is quick.	not_entailment
The smith is unusual.	The smith is unusual	not_entailment
The smith is unusual	The smith is unusual.	not_entailment
The company is valuable.	The archive is valuable	not_entailment
The archive is valuable	The company is valuable.	not_entailment
The client is mature.	The market is mature	not_entailment
The market is mature	The client is mature.	not_entailment
The system is weak.	The system is weak	not_entailment
The system is weak	The system is weak.	not_entailment
The desert is dry.	The september is dry	not_entailment
The september is dry	The desert is dry.	not_entailment
The soup is cold.	The money is cold	not_entailment
The money is cold	The soup is cold.	not_entailment
The song is funny.	The biz is funny	not_entailment
The biz is funny	The song is funny.	not_entailment
The license is personal.	The emphasis is personal	not_entailment
The emphasis is personal	The license is personal.	not_entailment
The lewis is pretty.	The color is pretty	not_entailment
The color is pretty	The lewis is pretty.	not_entailment
The law is ugly.	The mask is ugly	not_entailment
The mask is ugly	The law is ugly.	not_entailment
The show is dumb.	The deluxe is dumb	not_entailment
The deluxe is dumb	The show is dumb.	not_entailment
The solution is surprising.	The sydney is surprising	not_entailment
The sydney is surprising	The solution is surprising.	not_entailment
The reason is unusual.	The shape is unusual	not_entailment
The shape is unusual	The reason is unusual.	not_entailment
The consumer is mature.	The author is mature	not_entailment
The author is mature	The consumer is mature.	not_entailment
The work is valuable.	The company is valuable	not_entailment
The company is valuable	The work is valuable.	not_entailment
The pottery is famous.	The pottery is famous	not_entailment
The pottery is famous	The pottery is famous.	not_entailment
The airport is crowded.	The restaurant is crowded	not_entailment
The restaurant is crowded	The airport is crowded.	not_entailment
The spanking is bad.	The news is bad	not_entailment
The news is bad	The spanking is bad.	not_entailment
The floor is dim.	The lamp is dim	not_entailment
The lamp is dim	The floor is dim.	not_entailment
The fruit is sweet.	The wyoming is sweet	not_entailment
The wyoming is sweet	The fruit is sweet.	not_entailment
The song is creepy.	The park is creepy	not_entailment
The park is creepy	The song is creepy.	not_entailment
The inside is creepy.	The look is creepy	not_entailment
The look is creepy	The inside is creepy.	not_entailment
The soil is damp.	The street is damp	not_entailment
The street is damp	The soil is damp.	not_entailment
The consumer is efficient.	The computer is efficient	not_entailment
The computer is efficient	The consumer is efficient.	not_entailment
The florist is personal.	The villa is personal	not_entailment
The villa is personal	The florist is personal.	not_entailment
The blue is pretty.	The canyon is pretty	not_entailment
The canyon is pretty	The blue is pretty.	not_entailment
The solution is quick.	The drive is quick	not_entailment
The drive is quick	The solution is quick.	not_entailment
The crime is violent.	The amazon is violent	not_entailment
The amazon is violent	The crime is violent.	not_entailment
The representation is misleading.	The ad is misleading	not_entailment
The ad is misleading	The representation is misleading.	not_entailment
The beef is plenty.	The entertainment is plenty	not_entailment
The entertainment is plenty	The beef is plenty.	not_entailment
The view is unpleasant.	The dream is unpleasant	not_entailment
The dream is unpleasant	The view is unpleasant.	not_entailment
The medication is expensive.	The hardware is expensive	not_entailment
The hardware is expensive	The medication is expensive.	not_entailment
The grove is small.	The village is small	not_entailment
The village is small	The grove is small.	not_entailment
The concrete is damp.	The earth is damp	not_entailment
The earth is damp	The concrete is damp.	not_entailment
The kid is capable.	The military is capable	not_entailment
The military is capable	The kid is capable.	not_entailment
The smith is old.	The walker is old	not_entailment
The walker is old	The smith is old.	not_entailment
The leadership is weak.	The lewis is weak	not_entailment
The lewis is weak	The leadership is weak.	not_entailment
The tone is sad.	The christmas is sad	not_entailment
The christmas is sad	The tone is sad.	not_entailment
The fat is fat.	The russell is fat	not_entailment
The russell is fat	The fat is fat.	not_entailment
The computer is dumb.	The muslim is dumb	not_entailment
The muslim is dumb	The computer is dumb.	not_entailment
The plan is interesting.	The world is interesting	not_entailment
The world is interesting	The plan is interesting.	not_entailment
The dvd is bad.	The dvd is bad	not_entailment
The dvd is bad	The dvd is bad.	not_entailment
The mirror is ugly.	The moon is ugly	not_entailment
The moon is ugly	The mirror is ugly.	not_entailment
The smith is odd.	The mood is odd	not_entailment
The mood is odd	The smith is odd.	not_entailment
The technology is expensive.	The china is expensive	not_entailment
The china is expensive	The technology is expensive.	not_entailment
The fruit is unusual.	The michigan is unusual	not_entailment
The michigan is unusual	The fruit is unusual.	not_entailment
The jesus is big.	The grove is big	not_entailment
The grove is big	The jesus is big.	not_entailment
The ring is valuable.	The handbook is valuable	not_entailment
The handbook is valuable	The ring is valuable.	not_entailment
The lead is misleading.	The advertisement is misleading	not_entailment
The advertisement is misleading	The lead is misleading.	not_entailment
The dark is scary.	The scene is scary	not_entailment
The scene is scary	The dark is scary.	not_entailment
The mood is lively.	The crowd is lively	not_entailment
The crowd is lively	The mood is lively.	not_entailment
The alexander is tired.	The machine is tired	not_entailment
The machine is tired	The alexander is tired.	not_entailment
The case is interesting.	The outcome is interesting	not_entailment
The outcome is interesting	The case is interesting.	not_entailment
The creek is pretty.	The grass is pretty	not_entailment
The grass is pretty	The creek is pretty.	not_entailment
The brain is fat.	The wolf is fat	not_entailment
The wolf is fat	The brain is fat.	not_entailment
The struggle is tough.	The competition is tough	not_entailment
The competition is tough	The struggle is tough.	not_entailment
The bluetooth is good.	The outlook is good	not_entailment
The outlook is good	The bluetooth is good.	not_entailment
The situation is interesting.	The rest is interesting	not_entailment
The rest is interesting	The situation is interesting.	not_entailment
The truth is valuable.	The china is valuable	not_entailment
The china is valuable	The truth is valuable.	not_entailment
The machine is clever.	The parker is clever	not_entailment
The parker is clever	The machine is clever.	not_entailment
The decor is awful.	The result is awful	not_entailment
The result is awful	The decor is awful.	not_entailment
The world is awful.	The cost is awful	not_entailment
The cost is awful	The world is awful.	not_entailment
The difference is awful.	The sound is awful	not_entailment
The sound is awful	The difference is awful.	not_entailment
The computer is efficient.	The smith is efficient	not_entailment
The smith is efficient	The computer is efficient.	not_entailment
The miller is happy.	The villa is happy	not_entailment
The villa is happy	The miller is happy.	not_entailment
The border is thin.	The april is thin	not_entailment
The april is thin	The border is thin.	not_entailment
The weather is damp.	The floor is damp	not_entailment
The floor is damp	The weather is damp.	not_entailment
The milk is cold.	The room is cold	not_entailment
The room is cold	The milk is cold.	not_entailment
The army is tired.	The doctor is tired	not_entailment
The doctor is tired	The army is tired.	not_entailment
The question is easy.	The goal is easy	not_entailment
The goal is easy	The question is easy.	not_entailment
The word is fat.	The jimmy is fat	not_entailment
The jimmy is fat	The word is fat.	not_entailment
The road is dirty.	The ground is dirty	not_entailment
The ground is dirty	The road is dirty.	not_entailment
The illness is uncommon.	The disease is uncommon	not_entailment
The disease is uncommon	The illness is uncommon.	not_entailment
The oracle is efficient.	The battery is efficient	not_entailment
The battery is efficient	The oracle is efficient.	not_entailment
The story is interesting.	The memorabilia is interesting	not_entailment
The memorabilia is interesting	The story is interesting.	not_entailment
The gourmet is hungry.	The charlotte is hungry	not_entailment
The charlotte is hungry	The gourmet is hungry.	not_entailment
The pink is pretty.	The jennifer is pretty	not_entailment
The jennifer is pretty	The pink is pretty.	not_entailment
The franchise is valuable.	The grove is valuable	not_entailment
The grove is valuable	The franchise is valuable.	not_entailment
