premise	hypothesis	label
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 600 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 620 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 640 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 660 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 680 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 700 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 720 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 740 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 760 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 780 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 800 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 820 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 840 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 860 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 880 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 900 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 920 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 940 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 960 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 980 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1000 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1020 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1040 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1060 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1080 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1100 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1120 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1140 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1160 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1180 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1200 m avenue is straight.	discard
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1220 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1240 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1260 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1280 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1300 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1320 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1340 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1360 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1380 m avenue is straight.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 600 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 620 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 640 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 660 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 680 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 700 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 720 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 740 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 760 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 780 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 800 m avenue is crooked.	discard
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 820 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 840 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 860 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 880 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 900 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 920 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 940 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 960 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 980 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1000 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1020 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1040 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1060 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1080 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1100 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1120 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1140 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1160 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1180 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1200 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1220 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1240 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1260 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1280 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1300 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1320 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1340 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1360 m avenue is crooked.	not_entailment
A 1200 m avenue is straight. A 800 m avenue is crooked.	A 1380 m avenue is crooked.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 90 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 94 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 98 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 102 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 106 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 110 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 114 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 118 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 122 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 126 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 130 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 134 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 138 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 142 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 146 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 150 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 154 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 158 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 162 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 166 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 170 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 174 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 178 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 182 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 186 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 190 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 194 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 198 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 202 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 206 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 210 cm woman is right.	discard
A 210 cm woman is right. A 130 cm woman is incorrect.	A 214 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 218 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 222 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 226 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 230 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 234 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 238 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 242 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 246 cm woman is right.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 90 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 94 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 98 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 102 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 106 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 110 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 114 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 118 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 122 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 126 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 130 cm woman is incorrect.	discard
A 210 cm woman is right. A 130 cm woman is incorrect.	A 134 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 138 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 142 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 146 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 150 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 154 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 158 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 162 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 166 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 170 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 174 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 178 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 182 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 186 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 190 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 194 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 198 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 202 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 206 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 210 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 214 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 218 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 222 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 226 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 230 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 234 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 238 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 242 cm woman is incorrect.	not_entailment
A 210 cm woman is right. A 130 cm woman is incorrect.	A 246 cm woman is incorrect.	not_entailment
A 3870 m mountain is beautiful. A 2570 m mountain is ugly.	A 1920 m mountain is beautiful.	not_entailment
A 3870 m mountain is beautiful. A 2570 m mountain is ugly.	A 1985 m mountain is beautiful.	not_entailment
A 3870 m mountain is beautiful. A 2570 m mountain is ugly.	A 2050 m mountain is beautiful.	not_entailment
