premise	hypothesis
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 2440 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 2562 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 2684 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 2806 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 2928 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 3050 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 3172 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 3294 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 3416 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 3538 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 3660 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 3782 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 3904 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 4026 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 4148 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 4270 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 4392 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 4514 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 4636 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 4758 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 4880 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 5002 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 5124 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 5246 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 5368 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 5490 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 5612 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 5734 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 5856 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 5978 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 6100 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 6222 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 6344 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 6466 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 6588 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 6710 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 6832 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 6954 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 7076 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 7198 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 7320 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 7442 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 7564 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 7686 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 7808 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 7930 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 8052 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 8174 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 8296 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 8418 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 8540 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 8662 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 8784 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 8906 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 9028 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 9150 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 9272 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 9394 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 9516 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 9638 cm cliff is very tall.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 2440 cm cliff is very short.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 2562 cm cliff is very short.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 2684 cm cliff is very short.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 2806 cm cliff is very short.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 2928 cm cliff is very short.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 3050 cm cliff is very short.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 3172 cm cliff is very short.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 3294 cm cliff is very short.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 3416 cm cliff is very short.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 3538 cm cliff is very short.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 3660 cm cliff is very short.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 3782 cm cliff is very short.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 3904 cm cliff is very short.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 4026 cm cliff is very short.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 4148 cm cliff is very short.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 4270 cm cliff is very short.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 4392 cm cliff is very short.
A 7320 cm cliff is tall. A 4880 cm cliff is short.	A 4514 cm cliff is very short.
