premise	hypothesis
A 140 cm quilt is long. A 80 cm quilt is short.	A 50 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 53 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 56 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 59 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 62 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 65 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 68 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 71 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 74 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 77 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 80 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 83 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 86 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 89 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 92 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 95 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 98 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 101 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 104 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 107 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 110 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 113 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 116 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 119 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 122 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 125 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 128 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 131 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 134 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 137 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 140 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 143 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 146 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 149 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 152 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 155 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 158 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 161 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 164 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 167 cm quilt is very long.
A 140 cm quilt is long. A 80 cm quilt is short.	A 50 cm quilt is very short.
A 140 cm quilt is long. A 80 cm quilt is short.	A 53 cm quilt is very short.
A 140 cm quilt is long. A 80 cm quilt is short.	A 56 cm quilt is very short.
A 140 cm quilt is long. A 80 cm quilt is short.	A 59 cm quilt is very short.
A 140 cm quilt is long. A 80 cm quilt is short.	A 62 cm quilt is very short.
A 140 cm quilt is long. A 80 cm quilt is short.	A 65 cm quilt is very short.
A 140 cm quilt is long. A 80 cm quilt is short.	A 68 cm quilt is very short.
A 140 cm quilt is long. A 80 cm quilt is short.	A 71 cm quilt is very short.
A 140 cm quilt is long. A 80 cm quilt is short.	A 74 cm quilt is very short.
A 140 cm quilt is long. A 80 cm quilt is short.	A 77 cm quilt is very short.
A 140 cm quilt is long. A 80 cm quilt is short.	A 80 cm quilt is very short.
A 140 cm quilt is long. A 80 cm quilt is short.	A 83 cm quilt is very short.
A 140 cm quilt is long. A 80 cm quilt is short.	A 86 cm quilt is very short.
A 140 cm quilt is long. A 80 cm quilt is short.	A 89 cm quilt is very short.
A 140 cm quilt is long. A 80 cm quilt is short.	A 92 cm quilt is very short.
A 140 cm quilt is long. A 80 cm quilt is short.	A 95 cm quilt is very short.
A 140 cm quilt is long. A 80 cm quilt is short.	A 98 cm quilt is very short.
A 140 cm quilt is long. A 80 cm quilt is short.	A 101 cm quilt is very short.
