premise	hypothesis
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 80 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 84 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 88 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 92 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 96 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 100 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 104 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 108 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 112 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 116 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 120 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 124 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 128 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 132 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 136 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 140 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 144 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 148 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 152 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 156 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 160 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 164 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 168 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 172 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 176 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 180 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 184 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 188 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 192 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 196 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 200 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 204 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 208 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 212 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 216 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 220 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 224 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 228 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 232 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 236 cm buffalo is not tall.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 80 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 84 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 88 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 92 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 96 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 100 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 104 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 108 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 112 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 116 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 120 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 124 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 128 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 132 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 136 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 140 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 144 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 148 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 152 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 156 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 160 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 164 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 168 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 172 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 176 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 180 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 184 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 188 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 192 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 196 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 200 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 204 cm buffalo is not short.
A 200 cm buffalo is tall. A 120 cm buffalo is short.	A 208 cm buffalo is not short.
