premise	hypothesis	label
A 1100 kg jeep is new. A 720 kg jeep is old.	A 340 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 359 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 378 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 397 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 416 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 435 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 454 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 473 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 492 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 511 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 530 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 549 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 568 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 587 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 606 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 625 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 644 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 663 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 682 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 701 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 720 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 739 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 758 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 777 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 796 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 815 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 834 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 853 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 872 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 891 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 910 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 929 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 948 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 967 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 986 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1005 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1024 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1043 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1062 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1081 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1100 kg jeep is new.	discard
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1119 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1138 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1157 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1176 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1195 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1214 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1233 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1252 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1271 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1290 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1309 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1328 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1347 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1366 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1385 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1404 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1423 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1442 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 1461 kg jeep is new.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 340 kg jeep is old.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 359 kg jeep is old.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 378 kg jeep is old.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 397 kg jeep is old.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 416 kg jeep is old.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 435 kg jeep is old.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 454 kg jeep is old.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 473 kg jeep is old.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 492 kg jeep is old.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 511 kg jeep is old.	not_entailment
A 1100 kg jeep is new. A 720 kg jeep is old.	A 530 kg jeep is old.	not_entailment
